what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1332123786296
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123791695
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332123793130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123808232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123858991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1332123859039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1332123859039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123861827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332123932783
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332123939651
